V1	V2	Cluster1	Cluster2	Cluster3	ancestry
SC-17	Swan_Creek	1e-05	0.216139	0.783851	Admixed
SC-22	Swan_Creek	1e-05	0.482865	0.517125	Admixed
SC-47	Swan_Creek	1e-05	0.156799	0.843191	Admixed
Wall-002	Red_River	1e-05	0.408712	0.591278	Admixed
Wall-054	Red_River	0.076845	0.60747	0.315685	Admixed
Wall-182	Dauphin_River	1e-05	0.607468	0.392522	Admixed
Wall-185	Dauphin_River	1e-05	0.612325	0.387665	Admixed
Wall-188	Dauphin_River	1e-05	0.605538	0.394452	Admixed
Wall-193	Dauphin_River	0.007783	0.563512	0.428704	Admixed
Wall-196	Dauphin_River	0.023846	0.68498	0.291174	Admixed
Wall-279	Matheson	0.009082	0.802921	0.187997	Admixed
Wall-300	Matheson	1e-05	0.696798	0.303192	Admixed
Wall-303	Matheson	1e-05	0.759832	0.240158	Admixed
Wall-306	Matheson	1e-05	0.816445	0.183545	Admixed
Wall-317	Matheson	0.027931	0.774662	0.197407	Admixed
Wall-318	Matheson	1e-05	0.795813	0.204177	Admixed
Wall-338	Dauphin_River	0.041912	0.684152	0.273936	Admixed
Wall-350	Dauphin_River	0.005517	0.598553	0.39593	Admixed
Wall-354	Dauphin_River	0.052704	0.537772	0.409524	Admixed
Wall-356	Dauphin_River	1e-05	0.642367	0.357623	Admixed
Wall-357	Dauphin_River	0.02581	0.745982	0.228208	Admixed
Wall-358	Dauphin_River	0.011965	0.518902	0.469133	Admixed
Wall-359	Dauphin_River	0.02365	0.635081	0.341268	Admixed
Wall-360	Dauphin_River	0.025888	0.548842	0.42527	Admixed
Wall-342	Dauphin_River	0.065501	0.572269	0.362231	Admixed
Wall-344	Dauphin_River	0.026215	0.722352	0.251433	Admixed
Wall-345	Dauphin_River	0.035831	0.57418	0.389989	Admixed
Wall-346	Dauphin_River	0.042738	0.719162	0.2381	Admixed
Wall-197	Dauphin_River	0.026208	0.585155	0.388637	Admixed
KS-1	Kansas	0.99998	1e-05	1e-05	Kansas
KS-2	Kansas	0.99998	1e-05	1e-05	Kansas
KS-3	Kansas	0.99998	1e-05	1e-05	Kansas
KS-4	Kansas	0.993021	1e-05	0.006969	Kansas
KS-5	Kansas	0.99998	1e-05	1e-05	Kansas
KS-6	Kansas	0.941257	0.058733	1e-05	Kansas
KS-7	Kansas	0.99998	1e-05	1e-05	Kansas
KS-8	Kansas	0.99998	1e-05	1e-05	Kansas
KS-9	Kansas	0.99998	1e-05	1e-05	Kansas
KS-10	Kansas	0.99998	1e-05	1e-05	Kansas
